name,email,lunchgroupleader_id,password,department_id,optional
Lori Dean,ldean@realblab.edu,2,9 Schlimgen Street,2,vegetarian
Carol Fuller,cfuller@jabberstorm.name,1,48 John Wall Court,2,do not like pizza
Phyllis Wheeler,pwheeler@photobean.com,1,81 School Road,3,vegetarian
Jessica Wells,jwells@jayo.com,1,745 Banding Street,5,do not like pizza
Willie Webb,wwebb@jabberstorm.mil,3,82 Crownhardt Crossing,6,vegetarian
Laura Ramirez,lramirez@quatz.edu,3,4 Scott Crossing,6,vegetarian
Michelle Day,mday@tagfeed.org,2,035 Cherokee Crossing,2,vegetarian
Shirley Richardson,srichardson@fanoodle.org,3,41058 Victoria Parkway,6,vegetarian
Eric Mason,emason@wordware.info,2,70877 Burning Wood Parkway,5,vegetarian
Scott Watson,swatson@roodel.mil,3,3428 Shopko Pass,1,do not like pizza
Ryan Rodriguez,rrodriguez@meedoo.edu,2,58 Superior Court,6,vegetarian
Theresa Morrison,tmorrison@feedfish.gov,1,40822 Fair Oaks Hill,6,vegetarian
Stephanie Nichols,snichols@dabfeed.com,1,83456 Northland Lane,1,do not like pizza
Randy Turner,rturner@camido.name,2,7 Swallow Park,4,vegetarian
Matthew King,mking@jabbersphere.mil,3,438 Swallow Circle,6,vegetarian
Kevin Anderson,kanderson@jazzy.info,1,612 Monument Road,6,vegetarian
Doris Riley,driley@digitube.gov,2,3 Algoma Point,1,vegetarian
Harold Greene,hgreene@flipbug.biz,1,83 Shopko Parkway,6,vegetarian
Paula Alvarez,palvarez@tambee.org,2,49 Esch Center,4,do not like pizza
Matthew Evans,mevans@vinder.name,3,326 Schmedeman Circle,5,do not like pizza
Juan Boyd,jboyd@gabspot.org,3,962 Twin Pines Point,4,do not like pizza
Sara Andrews,sandrews@meeveo.name,2,301 Vidon Road,5,vegetarian
Mary Wagner,mwagner@eare.net,3,8601 Londonderry Trail,1,do not like pizza
Kathy Fields,kfields@zooxo.net,2,90240 Brickson Park Lane,6,vegetarian
Shirley Torres,storres@dazzlesphere.net,2,0363 Stang Crossing,3,do not like pizza
Robert Cunningham,rcunningham@vidoo.mil,3,92 Ridgeview Junction,3,vegetarian
Kathleen Cox,kcox@tagcat.org,1,30 Manley Way,5,do not like pizza
Christopher Howard,choward@pixoboo.gov,1,67670 Raven Circle,6,do not like pizza
Justin Mccoy,jmccoy@skinix.name,3,8 Crescent Oaks Park,1,vegetarian
Nicole Reed,nreed@mymm.biz,2,619 Harbort Court,5,do not like pizza
Harold Lane,hlane@meezzy.gov,2,384 West Alley,1,do not like pizza
Matthew Hayes,mhayes@wordpedia.gov,3,29842 Sunnyside Way,6,vegetarian
